case_id, activity, enable_time, start_time, end_time, resource
76,Sequence A,2023-11-02 17:35:47.339935+00:00,2023-11-02 19:38:13.963816+00:00,2023-11-02 19:40:47.576183+00:00,Default resource profile 1_3
77,Sequence A,2023-11-02 17:36:37.221351+00:00,2023-11-02 19:39:27.229301+00:00,2023-11-02 19:48:50.271711+00:00,Default resource profile 1_2
78,Sequence A,2023-11-02 17:37:56.736287+00:00,2023-11-02 19:40:47.576183+00:00,2023-11-02 19:50:17.605379+00:00,Default resource profile 1_3
0,Sequence C,2023-11-02 17:38:49.067655+00:00,2023-11-02 19:45:59.777267+00:00,2023-11-02 19:55:43.090365+00:00,Default resource profile 1_4
79,Sequence A,2023-11-02 17:38:59.527102+00:00,2023-11-02 19:47:39.818463+00:00,2023-11-02 19:56:47.449286+00:00,Default resource profile 1_0
80,Sequence A,2023-11-02 17:39:54.578256+00:00,2023-11-02 19:48:50.271711+00:00,2023-11-02 19:54:03.591573+00:00,Default resource profile 1_2
81,Sequence A,2023-11-02 17:41:07.342733+00:00,2023-11-02 19:50:17.605379+00:00,2023-11-02 20:05:46.773249+00:00,Default resource profile 1_3
82,Sequence A,2023-11-02 17:42:04.529822+00:00,2023-11-02 19:51:28.729518+00:00,2023-11-02 19:54:31.519614+00:00,Default resource profile 1_1
83,Sequence A,2023-11-02 17:43:03.594459+00:00,2023-11-02 19:54:03.591573+00:00,2023-11-02 20:00:09.985023+00:00,Default resource profile 1_2
2,Sequence C,2023-11-02 17:43:54.629075+00:00,2023-11-02 19:54:31.519614+00:00,2023-11-02 20:03:58.392422+00:00,Default resource profile 1_1
84,Sequence A,2023-11-02 17:44:09.854325+00:00,2023-11-02 19:55:43.090365+00:00,2023-11-02 20:06:15.733294+00:00,Default resource profile 1_4
85,Sequence A,2023-11-02 17:45:15.460577+00:00,2023-11-02 19:56:47.449286+00:00,2023-11-02 20:09:30.526493+00:00,Default resource profile 1_0
86,Sequence A,2023-11-02 17:46:26.034448+00:00,2023-11-02 20:00:09.985023+00:00,2023-11-02 20:10:25.899104+00:00,Default resource profile 1_2
87,Sequence A,2023-11-02 17:47:20.379299+00:00,2023-11-02 20:03:58.392422+00:00,2023-11-02 20:14:43.250349+00:00,Default resource profile 1_1
88,Sequence A,2023-11-02 17:48:21.892658+00:00,2023-11-02 20:05:46.773249+00:00,2023-11-02 20:23:16.522377+00:00,Default resource profile 1_3
6,Sequence C,2023-11-02 17:48:56.144452+00:00,2023-11-02 20:06:15.733294+00:00,2023-11-02 20:09:36.347341+00:00,Default resource profile 1_4
89,Sequence A,2023-11-02 17:49:11.169296+00:00,2023-11-02 20:09:30.526493+00:00,2023-11-02 20:29:45.141450+00:00,Default resource profile 1_0
90,Sequence A,2023-11-02 17:50:13.344452+00:00,2023-11-02 20:09:36.347341+00:00,2023-11-02 20:23:28.609929+00:00,Default resource profile 1_4
91,Sequence A,2023-11-02 17:51:00.952701+00:00,2023-11-02 20:10:25.899104+00:00,2023-11-02 20:22:49.987416+00:00,Default resource profile 1_2
